code,year,index,mean,std,min,max,p10,p90,valid_pixels,status,name,industry,group
000912,2019,NDWI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,四川泸天化股份有限公司,石化,绿色
000912,2021,NDVI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,四川泸天化股份有限公司,石化,绿色
000912,2021,NDWI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,四川泸天化股份有限公司,石化,绿色
002493,2019,NDVI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,荣盛石化股份有限公司（逸盛大化石化有限公司19）,石化,标杆
002493,2019,NDWI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,荣盛石化股份有限公司（逸盛大化石化有限公司19）,石化,标杆
002493,2021,NDVI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,荣盛石化股份有限公司（逸盛大化石化有限公司19）,石化,标杆
002493,2021,NDWI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,荣盛石化股份有限公司（逸盛大化石化有限公司19）,石化,标杆
600028,2019,NDVI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,中国石油化工股份有限公司（金陵分公司、北京燕山分公司、济南分公司、九江分公司、镇海炼化分公司）,石化,绿色
600028,2019,NDWI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,中国石油化工股份有限公司（金陵分公司、北京燕山分公司、济南分公司、九江分公司、镇海炼化分公司）,石化,绿色
600028,2021,NDVI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,中国石油化工股份有限公司（金陵分公司、北京燕山分公司、济南分公司、九江分公司、镇海炼化分公司）,石化,绿色
600028,2021,NDWI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,中国石油化工股份有限公司（金陵分公司、北京燕山分公司、济南分公司、九江分公司、镇海炼化分公司）,石化,绿色
600339,2019,NDVI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,中油工程建设股份有限公司,石化,棕色
